id,result,label
0,3. Probabilistic Methods,3
1,Neural Networks,2
2,Probabilistic Methods,3
3,1. Genetic Algorithms,1
4,Neural Networks,2
5,Neural Networks,2
6,Case Based,0
7,Probabilistic Methods,3
8,3. Probabilistic Methods,3
9,Neural Networks,2
10,Genetic Algorithms,1
11,Probabilistic Methods,3
12,Reinforcement Learning,4
13,3. Probabilistic Methods,3
14,3. Probabilistic Methods,3
15,Probabilistic Methods,3
16,2. Neural Networks,2
17,3. Probabilistic Methods,3
18,Genetic Algorithms,1
19,Probabilistic Methods,3
20,Neural Networks,2
21,3. Probabilistic Methods,3
22,Reinforcement Learning,4
23,Neural Networks,2
24,Neural Networks,2
25,Neural Networks,2
26,Theory,6
27,Probabilistic Methods,3
28,Neural Networks,2
29,4. Reinforcement Learning,4
30,Neural Networks,2
31,1. Genetic Algorithms,1
32,Case Based,0
33,3. Probabilistic Methods,3
34,Neural Networks,2
35,Rule Learning,5
36,Genetic Algorithms,1
37,Probabilistic Methods,3
38,3. Probabilistic Methods,3
39,4. Reinforcement Learning,4
40,3. Probabilistic Methods,3
41,Genetic Algorithms,1
42,6,6
43,4. Reinforcement Learning,4
44,3. Probabilistic Methods,3
45,3. Probabilistic Methods,3
46,Neural Networks,2
47,5. Rule Learning,5
48,3. Probabilistic Methods,3
49,Reinforcement Learning,4
50,5. Rule Learning,5
51,Probabilistic Methods,3
52,Case Based,0
53,Neural Networks,2
54,Probabilistic Methods,3
55,Reinforcement Learning,4
56,Theory,6
57,Case Based,0
58,Neural Networks,2
59,Neural Networks,2
60,Reinforcement Learning,4
61,3,3
62,Case Based,0
63,Reinforcement Learning,4
64,Neural Networks,2
65,Reinforcement Learning,4
66,1. Genetic Algorithms,1
67,5. Rule Learning,5
68,Neural Networks,2
69,Case Based,0
70,Rule Learning,5
71,Neural Networks,2
72,Neural Networks,2
73,Neural Networks,2
74,Case Based,0
75,4. Reinforcement Learning,4
76,Case Based,0
77,Neural Networks,2
78,Probabilistic Methods,3
79,3. Probabilistic Methods,3
80,Case Based,0
81,Case Based,0
82,4. Reinforcement Learning,4
83,Neural Networks,2
84,4,4
85,Genetic Algorithms,1
86,Reinforcement Learning,4
87,4. Reinforcement Learning,4
88,Reinforcement Learning,4
89,4. Reinforcement Learning,4
90,Neural Networks,2
91,Reinforcement Learning,4
92,Theory,6
93,Theory,6
94,Reinforcement Learning,4
95,Case Based,0
96,Theory,6
97,Rule Learning,5
98,1,1
99,Theory,6
100,Case Based,0
101,Neural Networks,2
102,3. Probabilistic Methods,3
103,Genetic Algorithms,1
104,Genetic Algorithms,1
105,Neural Networks,2
106,Theory,6
107,5. Rule Learning,5
108,6,6
109,Neural Networks,2
110,2. Neural Networks,2
111,Neural Networks,2
112,1. Genetic Algorithms,1
113,5. Rule Learning,5
114,5. Rule Learning,5
