id,result,label
0,Probabilistic Methods,3
1,Reinforcement Learning,4
2,Reinforcement Learning,4
3,Case Based,0
4,Neural Networks,2
5,Neural Networks,2
6,Case Based,0
7,Probabilistic Methods,3
8,Probabilistic Methods,3
9,Neural Networks,2
10,Genetic Algorithms,1
11,Case Based,0
12,Reinforcement Learning,4
13,Probabilistic Methods,3
14,Probabilistic Methods,3
15,Probabilistic Methods,3
16,Neural Networks,2
17,Probabilistic Methods,3
18,Case Based,0
19,Probabilistic Methods,3
20,Rule Learning,5
21,Probabilistic Methods,3
22,Reinforcement Learning,4
23,Theory,6
24,Probabilistic Methods,3
25,Probabilistic Methods,3
26,Theory,6
27,Probabilistic Methods,3
28,Neural Networks,2
29,Reinforcement Learning,4
30,Case Based,0
31,Rule Learning,5
32,Theoretical,6
33,Probabilistic Methods,3
34,Neural Networks,2
35,Case Based,0
36,Genetic Algorithms,1
37,Case Based,0
38,Reinforcement Learning,4
39,Reinforcement Learning,4
40,Probabilistic Methods,3
41,Genetic Algorithms,1
42,Theory,6
43,Reinforcement Learning,4
44,Probabilistic Methods,3
45,Probabilistic Methods,3
46,Neural Networks,2
47,Rule Learning,5
48,Reinforcement Learning,4
49,Probabilistic Methods,3
50,Rule Learning,5
51,Probabilistic Methods,3
52,Case Based,0
53,Neural Networks,2
54,Case Based,0
55,Case Based,0
56,Theory,6
57,Case Based,0
58,Neural Networks,2
59,Neural Networks,2
60,Case Based,0
61,Probabilistic Methods,3
62,Case Based,0
63,Reinforcement Learning,4
64,Neural Networks,2
65,Case Based,0
66,Reinforcement Learning,4
67,Rule Learning,5
68,Probabilistic Methods,3
69,Case Based,0
70,Rule Learning,5
71,Neural Networks,2
72,Neural Networks,2
73,Neural Networks,2
74,Case Based,0
75,Reinforcement Learning,4
76,Case Based,0
77,Case Based,0
78,Case Based,0
79,Probabilistic Methods,3
80,Case Based,0
81,Case Based,0
82,Reinforcement Learning,4
83,Neural Networks,2
84,4. Reinforcement Learning,4
85,Genetic Algorithms,1
86,Reinforcement Learning,4
87,Theory,6
88,Reinforcement Learning,4
89,Reinforcement Learning,4
90,Neural Networks,2
91,Reinforcement Learning,4
92,Theory,6
93,Theory,6
94,Case Based,0
95,Case Based,0
96,Theory,6
97,Rule Learning,5
98,Case Based,0
99,Theory,6
100,Case Based,0
101,Probabilistic Methods,3
102,Genetic Algorithms,1
103,Genetic Algorithms,1
